price,sku,asin,reviews,product_link,image_link,uuid
829,Apple iPhone 13 (256GB) - Blue,B09G98R969,"1,526",https://www.amazon.co.uk/Apple-iPhone-13-256GB-Blue/dp/B09G98R969/ref=sr_1_12?crid=2MPQQM1S19HFJ&keywords=iPhone+13&qid=1657021739&refinements=p_89%3AApple&rnid=1632651031&s=electronics&sprefix=%2Caps%2C102&sr=1-12,https://m.media-amazon.com/images/I/71dpTXFz+dL._AC_UY218_.jpg,36b91217-2922-4a49-96cd-fc57e3a7805d
"1,149",Apple iPhone 13 Pro Max (256GB) - Graphite,B09G96VJSX,898,https://www.amazon.co.uk/Apple-iPhone-Pro-Max-256GB/dp/B09G96VJSX/ref=sr_1_13?crid=2MPQQM1S19HFJ&keywords=iPhone+13&qid=1657021739&refinements=p_89%3AApple&rnid=1632651031&s=electronics&sprefix=%2Caps%2C102&sr=1-13,https://m.media-amazon.com/images/I/61nEaHtArzL._AC_UY218_.jpg,d8acf9af-1340-4deb-b4c8-0fd955fb3689
"1,049",Apple iPhone 13 Pro Max (128GB) - Sierra Blue,B09G91CF3D,898,https://www.amazon.co.uk/Apple-iPhone-Pro-Max-128GB/dp/B09G91CF3D/ref=sr_1_14?crid=2MPQQM1S19HFJ&keywords=iPhone+13&qid=1657021739&refinements=p_89%3AApple&rnid=1632651031&s=electronics&sprefix=%2Caps%2C102&sr=1-14,https://m.media-amazon.com/images/I/61BgOOthLUL._AC_UY218_.jpg,f219717a-2081-454c-8a16-8f89f7943899
949,Apple iPhone 13 Pro (128 GB) - Alpine Green,B09V4P7XP9,758,https://www.amazon.co.uk/Apple-iPhone-13-Pro-128/dp/B09V4P7XP9/ref=sr_1_15?crid=2MPQQM1S19HFJ&keywords=iPhone+13&qid=1657021739&refinements=p_89%3AApple&rnid=1632651031&s=electronics&sprefix=%2Caps%2C102&sr=1-15,https://m.media-amazon.com/images/I/61AwGDDZd3L._AC_UY218_.jpg,09213e3b-5a86-4be8-941c-0ba3a9fbe46b
"1,149",Apple iPhone 13 Pro Max (256GB) - Gold,B09G93YNK4,898,https://www.amazon.co.uk/Apple-iPhone-Pro-Max-256GB/dp/B09G93YNK4/ref=sr_1_16?crid=2MPQQM1S19HFJ&keywords=iPhone+13&qid=1657021739&refinements=p_89%3AApple&rnid=1632651031&s=electronics&sprefix=%2Caps%2C102&sr=1-16,https://m.media-amazon.com/images/I/61l0V4bJD5L._AC_UY218_.jpg,05020a47-9c7f-4165-abf9-98d1209d4e71
729,Apple iPhone 13 mini (256GB) - Blue,B09G91SRW8,701,https://www.amazon.co.uk/Apple-iPhone-13-mini-256GB/dp/B09G91SRW8/ref=sr_1_17?crid=2MPQQM1S19HFJ&keywords=iPhone+13&qid=1657021739&refinements=p_89%3AApple&rnid=1632651031&s=electronics&sprefix=%2Caps%2C102&sr=1-17,https://m.media-amazon.com/images/I/718iXsqfamL._AC_UY218_.jpg,f61cd560-ec90-4c5b-90a1-78ef51aa5e40
"1,149",Apple iPhone 13 Pro Max (256 GB) - Alpine Green,B09V4JQ48R,898,https://www.amazon.co.uk/Apple-iPhone-Pro-Max-256/dp/B09V4JQ48R/ref=sr_1_18?crid=2MPQQM1S19HFJ&keywords=iPhone+13&qid=1657021739&refinements=p_89%3AApple&rnid=1632651031&s=electronics&sprefix=%2Caps%2C102&sr=1-18,https://m.media-amazon.com/images/I/611ovP2GkrL._AC_UY218_.jpg,26d98805-f5fe-41b2-9bdf-3c77457327ed
"1,049",Apple iPhone 13 Pro (256GB) - Graphite,B09G95386G,758,https://www.amazon.co.uk/Apple-iPhone-13-Pro-256GB/dp/B09G95386G/ref=sr_1_19?crid=2MPQQM1S19HFJ&keywords=iPhone+13&qid=1657021739&refinements=p_89%3AApple&rnid=1632651031&s=electronics&sprefix=%2Caps%2C102&sr=1-19,https://m.media-amazon.com/images/I/61HnuJc8WHL._AC_UY218_.jpg,f0d298e4-ebb5-40b2-9e3a-1b22115613e8
829,Apple iPhone 13 (256GB) - (PRODUCT) RED,B09G9BPV4X,"1,526",https://www.amazon.co.uk/Apple-iPhone-13-256GB-PRODUCT/dp/B09G9BPV4X/ref=sr_1_20?crid=2MPQQM1S19HFJ&keywords=iPhone+13&qid=1657021739&refinements=p_89%3AApple&rnid=1632651031&s=electronics&sprefix=%2Caps%2C102&sr=1-20,https://m.media-amazon.com/images/I/719KiqNv45L._AC_UY218_.jpg,ecafb7db-c823-4f47-bdf9-f0ac39ce05c2
829,Apple iPhone 13 (256 GB) - Green,B09V4WL8NM,"1,526",https://www.amazon.co.uk/Apple-iPhone-13-256-GB/dp/B09V4WL8NM/ref=sr_1_21?crid=2MPQQM1S19HFJ&keywords=iPhone+13&qid=1657021739&refinements=p_89%3AApple&rnid=1632651031&s=electronics&sprefix=%2Caps%2C102&sr=1-21,https://m.media-amazon.com/images/I/61-r9zOKBCL._AC_UY218_.jpg,16cb8975-79cb-4268-86c7-73434a211e9d
949,Apple iPhone 13 Pro (128GB) - Gold,B09G9JFD6W,758,https://www.amazon.co.uk/Apple-iPhone-13-Pro-128GB/dp/B09G9JFD6W/ref=sr_1_22?crid=2MPQQM1S19HFJ&keywords=iPhone+13&qid=1657021739&refinements=p_89%3AApple&rnid=1632651031&s=electronics&sprefix=%2Caps%2C102&sr=1-22,https://m.media-amazon.com/images/I/61qkjL+lOGL._AC_UY218_.jpg,85d00246-2d16-4287-a7a7-c51b2ed9bdb1
949,Apple iPhone 13 Pro (128GB) - Silver,B09G9F2VWV,758,https://www.amazon.co.uk/Apple-iPhone-13-Pro-128GB/dp/B09G9F2VWV/ref=sr_1_23?crid=2MPQQM1S19HFJ&keywords=iPhone+13&qid=1657021739&refinements=p_89%3AApple&rnid=1632651031&s=electronics&sprefix=%2Caps%2C102&sr=1-23,https://m.media-amazon.com/images/I/61BiGDqUgWL._AC_UY218_.jpg,1a0c0c5b-3405-4ace-a414-439408a43443
729,Apple iPhone 13 mini (256GB) - (PRODUCT) RED,B09G9KQLJ4,701,https://www.amazon.co.uk/Apple-iPhone-13-mini-256GB/dp/B09G9KQLJ4/ref=sr_1_24?crid=2MPQQM1S19HFJ&keywords=iPhone+13&qid=1657021739&refinements=p_89%3AApple&rnid=1632651031&s=electronics&sprefix=%2Caps%2C102&sr=1-24,https://m.media-amazon.com/images/I/61N+-WYoOfL._AC_UY218_.jpg,a08f879b-b660-4206-9c88-8c5fd1f13b25
829,Apple iPhone 13 (256GB) - Pink,B09G95W3NB,"1,526",https://www.amazon.co.uk/Apple-iPhone-13-256GB-Pink/dp/B09G95W3NB/ref=sr_1_25?crid=2MPQQM1S19HFJ&keywords=iPhone+13&qid=1657021739&refinements=p_89%3AApple&rnid=1632651031&s=electronics&sprefix=%2Caps%2C102&sr=1-25,https://m.media-amazon.com/images/I/61CGRxr55fL._AC_UY218_.jpg,7010bce1-1e60-4b52-b3a1-04dedd8db962
999,Apple iPhone 13 (512GB) - Pink,B09G914LY3,"1,526",https://www.amazon.co.uk/Apple-iPhone-13-512GB-Pink/dp/B09G914LY3/ref=sr_1_26?crid=2MPQQM1S19HFJ&keywords=iPhone+13&qid=1657021739&refinements=p_89%3AApple&rnid=1632651031&s=electronics&sprefix=%2Caps%2C102&sr=1-26,https://m.media-amazon.com/images/I/61CGRxr55fL._AC_UY218_.jpg,f604083f-b8ed-4195-8b55-667a75079089
